,NDCG,Ave_rank,metric,group,ave_metric
0,0.3058059439573628,280.8333333333333,9,0,19.27317880794702
1,0.266929047271152,1311.7142857142858,9,0,19.27317880794702
2,0.5934434219663706,254.23076923076923,10,0,19.27317880794702
3,0.2075213748639436,1125.0,10,0,19.27317880794702
4,0.3235925706474302,234.375,10,0,19.27317880794702
5,0.5113017900623769,90.88888888888889,10,0,19.27317880794702
6,0.2627541792845915,429.3333333333333,10,0,19.27317880794702
7,0.7298122393164463,347.14285714285717,11,0,19.27317880794702
8,0.5019452918022879,269.8333333333333,11,0,19.27317880794702
9,0.2367855326432856,1058.2857142857142,11,0,19.27317880794702
10,0.2928403147306586,308.2857142857143,11,0,19.27317880794702
11,0.3762738201891743,294.0,11,0,19.27317880794702
12,0.434307425073904,568.8571428571429,11,0,19.27317880794702
13,0.3075078735365931,521.5,11,0,19.27317880794702
14,0.49931710312696853,195.625,11,0,19.27317880794702
15,0.20358582148429272,1338.4,11,0,19.27317880794702
16,0.5681654765308655,78.125,11,0,19.27317880794702
17,0.46036831949670415,341.4,12,0,19.27317880794702
18,0.6576858443438605,57.333333333333336,12,0,19.27317880794702
19,0.3875637962014288,273.77777777777777,12,0,19.27317880794702
20,0.5763237900653252,209.83333333333334,12,0,19.27317880794702
21,0.6248694478729662,587.7142857142857,12,0,19.27317880794702
22,0.29825792004475266,227.6,12,0,19.27317880794702
23,0.7576142902981482,353.1111111111111,12,0,19.27317880794702
24,0.2120136202029554,610.0,12,0,19.27317880794702
25,0.367577151548488,113.5,12,0,19.27317880794702
26,0.5433424784302492,338.2,12,0,19.27317880794702
27,0.24988575054416742,355.5,12,0,19.27317880794702
28,0.48883650733769646,1146.7142857142858,12,0,19.27317880794702
29,0.38142850281519924,30.25,12,0,19.27317880794702
30,0.20795693382662045,675.0,12,0,19.27317880794702
31,0.39098194297697814,357.3333333333333,12,0,19.27317880794702
32,0.29350319399340263,418.6363636363636,12,0,19.27317880794702
33,0.2014682861080093,1009.5,12,0,19.27317880794702
34,0.2935949315798298,161.0,12,0,19.27317880794702
35,0.6240920868358365,166.14285714285714,12,0,19.27317880794702
36,0.3575357141597564,517.4285714285714,12,0,19.27317880794702
37,0.4085721533702817,1000.0,12,0,19.27317880794702
38,0.4321759426218241,528.7142857142857,12,0,19.27317880794702
39,0.30909852470999427,433.8,12,0,19.27317880794702
40,0.2881869156278087,336.8,12,0,19.27317880794702
41,0.3788952615126694,397.0,12,0,19.27317880794702
